horas_estudo,frequencia_%,atividades_entregues,nota_anterior,nota_final
8.8,100.0,10,8.0,10.0
10.5,82.5,4,5.8,7.26
8.0,90.8,6,4.2,6.81
12.4,88.1,7,5.9,9.71
7.2,100.0,8,8.8,9.82
16.2,96.2,10,7.8,10.0
9.9,83.7,8,6.0,9.22
5.4,75.4,5,6.0,6.25
4.8,68.9,9,6.0,8.87
9.4,87.0,10,9.6,10.0
7.3,77.4,9,7.1,9.34
10.1,70.8,10,7.1,9.75
9.4,78.5,10,8.0,10.0
7.8,74.2,9,6.9,9.7
5.5,100.0,8,6.1,8.66
3.5,93.8,4,6.2,6.18
6.7,84.9,9,6.4,9.03
10.6,99.8,9,6.4,9.75
8.6,85.8,9,7.6,10.0
4.3,76.4,5,6.6,6.7
8.5,100.0,5,7.6,8.65
9.2,90.4,10,6.4,9.93
5.3,74.6,8,6.6,7.02
8.5,83.1,10,3.5,7.51
8.2,76.2,8,7.9,9.75
4.6,71.2,8,7.0,7.33
9.1,94.3,10,8.0,10.0
9.7,100.0,7,2.2,7.68
11.2,71.0,8,9.6,10.0
11.2,90.6,7,6.3,9.57
3.9,78.5,7,8.2,8.63
5.2,80.1,7,4.9,6.46
9.5,79.1,9,7.4,8.71
9.5,76.4,7,4.9,8.53
9.5,85.5,10,5.6,9.14
19.6,76.7,6,9.4,10.0
9.7,87.7,8,6.2,9.84
11.4,84.5,7,6.8,9.52
10.9,82.6,10,7.8,10.0
10.0,75.9,8,7.2,10.0
7.1,79.2,10,6.7,8.72
10.3,92.6,4,7.0,8.89
5.7,90.0,9,10.0,10.0
7.3,75.2,10,6.4,9.01
6.5,86.0,8,6.8,9.53
8.2,92.5,10,8.1,10.0
14.9,68.3,7,8.2,10.0
2.4,90.4,10,8.3,9.97
10.1,78.4,10,7.5,9.78
3.2,90.7,7,4.8,6.36
6.6,77.4,7,9.0,8.26
11.3,67.0,10,4.8,7.4
8.2,68.7,10,7.0,10.0
4.8,85.5,7,5.4,6.58
5.9,87.6,7,6.4,7.87
10.0,76.0,7,7.0,8.48
5.8,91.4,5,7.0,7.89
8.6,68.4,6,7.1,8.26
8.1,84.3,5,8.9,9.28
6.0,72.9,6,7.2,7.11
14.4,78.5,8,6.1,9.49
9.9,85.5,9,7.9,10.0
1.9,76.4,10,8.3,8.52
8.6,81.2,6,4.7,8.12
6.0,95.1,10,7.4,10.0
10.6,79.2,7,7.6,9.57
5.6,93.4,8,6.1,8.78
7.7,73.7,10,8.6,10.0
9.5,90.3,5,6.3,8.2
10.6,99.4,9,6.7,9.48
4.4,60.3,8,6.2,7.14
7.0,77.0,9,6.5,8.18
6.6,90.8,9,4.9,7.96
6.0,83.0,10,4.3,8.33
13.3,88.7,6,8.9,10.0
9.2,79.0,7,5.2,7.82
4.2,85.9,6,5.0,6.82
10.8,83.4,7,3.3,8.43
14.4,96.7,6,5.5,9.48
11.1,87.5,10,4.5,10.0
3.4,88.4,10,9.0,10.0
6.5,80.9,7,8.0,7.54
11.8,80.1,6,5.5,8.58
5.9,80.7,9,9.9,10.0
9.3,88.9,7,8.0,10.0
10.3,80.8,10,6.0,9.91
5.2,87.9,9,2.8,6.86
7.8,100.0,4,9.9,8.7
0.0,93.7,10,4.4,7.11
4.9,81.7,10,4.0,7.06
7.2,97.0,6,8.0,8.7
4.3,80.9,7,10.0,9.39
12.9,64.6,9,8.6,10.0
3.7,74.9,9,7.3,8.43
6.7,66.3,10,7.4,8.1
8.4,81.5,10,7.8,10.0
12.3,85.2,8,7.6,10.0
3.7,100.0,6,6.9,7.59
11.5,88.3,5,6.7,8.49
8.0,82.8,6,6.4,7.91
5.1,93.3,8,5.4,7.49
9.4,62.9,10,6.1,9.02
8.6,87.4,7,4.0,7.37
6.2,92.7,9,6.4,9.21
8.2,70.2,8,5.0,6.98
6.8,96.4,10,4.8,8.64
8.3,88.4,10,6.8,10.0
10.0,80.8,7,8.6,9.32
12.8,91.3,7,7.9,10.0
4.3,100.0,10,4.1,7.98
14.4,86.8,10,5.0,10.0
2.1,87.5,10,7.9,9.55
7.5,80.4,9,5.0,7.29
9.8,76.5,7,6.2,7.18
8.8,93.3,9,7.3,9.03
6.1,76.4,10,5.0,8.81
7.4,85.7,10,6.7,9.07
6.5,80.2,9,4.5,9.22
6.2,89.8,10,5.6,8.52
10.5,88.3,10,7.0,10.0
9.1,95.4,10,4.1,9.9
5.9,79.9,10,7.2,10.0
10.7,82.3,8,6.5,10.0
8.9,75.2,8,7.3,9.62
10.4,80.6,10,6.8,10.0
9.9,88.8,6,8.5,9.83
